from,to,value,label
239,252,1,STS-107
239,254,1,STS-107
240,246,1,STS-113
240,248,1,STS-113
241,265,1,STS-116
241,286,1,STS-116
241,288,1,STS-116
241,290,1,STS-116
241,301,1,STS-127
241,305,1,STS-127
241,311,1,STS-127
241,320,1,STS-127
242,273,1,STS-117
242,276,1,STS-117
242,277,1,STS-117
242,291,2,"STS-117, STS-128"
242,295,1,STS-128
242,299,1,STS-128
242,312,1,STS-128
243,257,1,STS-109
246,248,1,STS-113
249,253,1,STS-106
249,256,1,STS-118
249,262,1,STS-118
249,267,1,STS-131
249,269,1,STS-118
249,273,1,STS-131
249,279,1,STS-131
249,293,1,STS-118
249,298,1,STS-118
249,319,1,STS-131
249,321,1,STS-131
251,255,1,STS-122
251,258,1,STS-122
251,261,1,STS-108
251,279,1,STS-122
251,285,1,STS-122
251,289,1,STS-122
252,254,1,STS-107
253,259,1,STS-115
253,278,1,STS-115
255,258,2,"STS-110, STS-122"
255,279,1,STS-122
255,285,1,STS-122
255,289,1,STS-122
256,262,1,STS-118
256,269,1,STS-118
256,271,1,STS-129
256,285,1,STS-129
256,293,1,STS-118
256,298,1,STS-118
256,300,1,STS-129
256,315,1,STS-129
256,318,1,STS-129
257,270,1,STS-125
257,297,1,STS-125
257,304,1,STS-125
257,310,1,STS-125
258,279,1,STS-122
258,285,1,STS-122
258,289,1,STS-122
259,266,1,STS-126
259,278,2,"STS-115, STS-126"
259,302,1,STS-126
259,303,1,STS-126
259,317,1,STS-126
260,261,1,STS-121
260,267,1,STS-121
260,272,1,STS-121
261,267,1,STS-121
261,272,2,"STS-121, STS-124"
261,283,1,STS-124
261,287,1,STS-124
261,296,1,STS-124
261,308,1,STS-124
262,269,1,STS-118
262,293,1,STS-118
262,298,1,STS-118
263,264,1,STS-102
265,286,1,STS-116
265,288,1,STS-116
265,290,1,STS-116
266,278,1,STS-126
266,302,1,STS-126
266,303,1,STS-126
266,317,1,STS-126
267,272,1,STS-121
267,273,1,STS-131
267,275,1,STS-120
267,279,1,STS-131
267,281,1,STS-120
267,319,1,STS-131
267,321,1,STS-131
268,283,1,Exp-18
268,304,1,STS-134
269,293,1,STS-118
269,298,1,STS-118
270,297,1,STS-125
270,304,1,STS-125
270,310,1,STS-125
271,280,1,STS-123
271,285,1,STS-129
271,292,1,STS-123
271,300,1,STS-129
271,309,1,STS-123
271,315,1,STS-129
271,318,1,STS-129
272,283,1,STS-124
272,287,1,STS-124
272,296,1,STS-124
272,308,1,STS-124
273,276,1,STS-117
273,277,1,STS-117
273,279,1,STS-131
273,291,1,STS-117
273,319,1,STS-131
273,321,1,STS-131
275,281,1,STS-120
276,277,2,"STS-117, STS-119"
276,291,1,STS-117
276,313,1,STS-119
276,316,1,STS-119
277,291,1,STS-117
277,313,1,STS-119
277,316,1,STS-119
278,302,1,STS-126
278,303,1,STS-126
278,317,1,STS-126
279,285,1,STS-122
279,289,1,STS-122
279,319,1,STS-131
279,321,1,STS-131
280,292,1,STS-123
280,309,1,STS-123
281,286,1,STS-130
281,307,1,STS-130
281,309,1,STS-130
283,287,1,STS-124
283,296,1,STS-124
283,308,1,STS-124
285,289,1,STS-122
285,300,1,STS-129
285,315,1,STS-129
285,318,1,STS-129
286,288,1,STS-116
286,290,1,STS-116
286,307,1,STS-130
286,309,1,STS-130
287,292,1,STS-132
287,296,1,STS-124
287,297,1,STS-132
287,302,1,STS-132
287,306,1,STS-132
287,308,1,STS-124
288,290,1,STS-116
291,295,1,STS-128
291,299,1,STS-128
291,312,1,STS-128
292,297,1,STS-132
292,302,1,STS-132
292,306,1,STS-132
292,309,1,STS-123
293,298,1,STS-118
294,298,1,STS-133
294,299,1,STS-133
294,302,1,STS-133
294,303,1,STS-133
295,299,1,STS-128
295,312,1,STS-128
296,308,1,STS-124
297,302,1,STS-132
297,304,1,STS-125
297,306,1,STS-132
297,310,1,STS-125
298,299,1,STS-133
298,302,1,STS-133
298,303,1,STS-133
299,302,1,STS-133
299,303,1,STS-133
299,312,1,STS-128
300,315,1,STS-129
300,318,1,STS-129
301,305,1,STS-127
301,311,1,STS-127
301,320,1,STS-127
302,303,2,"STS-126, STS-133"
302,306,1,STS-132
302,317,1,STS-126
303,317,1,STS-126
304,310,1,STS-125
305,311,1,STS-127
305,320,1,STS-127
307,309,1,STS-130
311,320,1,STS-127
313,316,1,STS-119
315,318,1,STS-129
319,321,1,STS-131
